Name,Email,Phone,City,Education,Experience_Years,Job_Applied,Job Sector,Company_Applied,Work_Mode,Job_Type_Preference,Referral,Skills,GitHub_Profile,LinkedIn_Profile,Resume_Link,Source_Job_Portal,Current_Job_Title,Notice_Period,Application Status
John Nelson,katherine68@coleman-martinez.biz,+91 94245 23206,Chandigarh,MBA,1,DevOps Engineer,IT ,Swiggy,Hybrid,Full-Time,No,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user1032,https://linkedin.com/in/user4627,https://www.dominguez.com/,Internshala,Data Analyst,15 days,Interview Scheduled
Gloria Vasquez,teresa23@gmail.com, +91 81978 71939,Delhi,Diploma,10,Product Manager,Non-IT,TCS,Hybrid,Remote,No,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user7791,https://linkedin.com/in/user5592,http://ortiz.net/,Indeed,Business Analyst,Serving Notice,Under Review
Alexandria Blair,ijohnson@hotmail.com, +91 90812 91484,Bangalore,MBA,8,UI/UX Designer,IT ,BYJU'S,Onsite,Remote,No,"wireframing, prototyping, Figma, Adobe XD, HTML, CSS, user research, usability testing",https://github.com/user7772,https://linkedin.com/in/user4329,http://www.gates.com/,Internshala,Data Analyst,Immediate,Rejected
Vanessa Gray,nwright@yahoo.com, +91 88567 83044,Ahmedabad,M.Sc,9,Graphic Designer,IT ,Accenture,Hybrid,Internship,Yes,"Adobe Photoshop, Illustrator, InDesign, CorelDRAW, creativity, typography, visual branding",https://github.com/user8906,https://linkedin.com/in/user2248,http://watts-ellis.com/,Glassdoor,Data Analyst,Serving Notice,Applied
Amber Duffy,krystaldyer@yahoo.com,+91 99086 21343,Kolkata,B.Tech,5,Graphic Designer,IT ,Accenture,Onsite,Contract,No,"Adobe Photoshop, Illustrator, InDesign, CorelDRAW, creativity, typography, visual branding",https://github.com/user7579,https://linkedin.com/in/user2815,http://www.moss-miller.org/,Internshala,Business Analyst,30 days,Rejected
Roger Norman,ronald75@miller.net, +91 70481 98488,Delhi,B.Tech,5,Data Analyst,IT ,Amazon,Remote,Internship,Yes,"data cleaning, SQL, Excel, Python/R, Tableau/Power BI, statistics, reporting, visualization",https://github.com/user8764,https://linkedin.com/in/user6003,https://www.mccann-jackson.com/,Indeed,UI/UX Designer,Immediate,Under Review
Heather Parker,kimberlybell@carlson.info,+91 87160 13342,Ahmedabad,M.Tech,8,Data Analyst,IT ,Microsoft,Hybrid,Part-Time,Yes,"data cleaning, SQL, Excel, Python/R, Tableau/Power BI, statistics, reporting, visualization",https://github.com/user3384,https://linkedin.com/in/user6706,https://www.dorsey.com/,LinkedIn,Data Analyst,30 days,Rejected
Taylor Payne,johnjohnson@gmail.com, +91 70815 87707,Hyderabad,M.Sc,0,Sales Manager,Non-IT,Amazon,Hybrid,Remote,Yes,"sales strategy, lead generation, CRM, negotiation, client relationship management, communication",https://github.com/user4824,https://linkedin.com/in/user2029,https://www.alvarez.info/,Indeed,Business Analyst,30 days,Applied
Elizabeth English,scottamanda@yahoo.com, +91 80228 04609,Jaipur,BCA,0,Graphic Designer,IT ,Deloitte,Hybrid,Part-Time,No,"Adobe Photoshop, Illustrator, InDesign, CorelDRAW, creativity, typography, visual branding",https://github.com/user2733,https://linkedin.com/in/user6722,https://www.cruz-knight.com/,Naukri.com,Business Analyst,30 days,Offer Received
Veronica Chavez,joshua06@yahoo.com,+91 76243 92620,Bangalore,MCA,1,Product Manager,Non-IT,IBM,Remote,Contract,No,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user7978,https://linkedin.com/in/user3347,https://reed.com/,Glassdoor,UI/UX Designer,Immediate,Interview Scheduled
David Allen MD,ceverett@villegas.com, +91 73619 68959,Ahmedabad,B.Tech,3,Product Manager,Non-IT,Swiggy,Hybrid,Remote,No,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user2641,https://linkedin.com/in/user3349,https://www.hughes-hill.com/,Internshala,Software Developer,60 days,Offer Received
Natalie Williams,heathamy@gmail.com, +91 60222 63885,Pune,M.Sc,8,Business Analyst,IT ,KPMG,Hybrid,Full-Time,Yes,"requirements gathering, data analysis, SQL, documentation, process mapping, stakeholder management, MS Excel",https://github.com/user2995,https://linkedin.com/in/user3714,http://contreras.com/,Indeed,Software Developer,30 days,Interview Scheduled
Marcus Mccormick,wproctor@yahoo.com,+91 77723 67228,Ahmedabad,B.Sc,9,HR Executive,Non-IT,Infosys,Onsite,Part-Time,Yes,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user8993,https://linkedin.com/in/user9715,http://www.brown-montgomery.com/,Internshala,DevOps Engineer,Immediate,Rejected
Jeffrey Cross,curtisryan@jefferson.com, +91 71247 30692,Ahmedabad,M.Tech,3,Software Engineer,IT ,Accenture,Remote,Remote,No,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user6456,https://linkedin.com/in/user6136,http://wheeler-mosley.com/,LinkedIn,UI/UX Designer,30 days,Interview Scheduled
Charles Ruiz,michael91@knight-ross.com, +91 60984 61529,Mumbai,BCA,6,Software Engineer,IT ,Microsoft,Hybrid,Full-Time,Yes,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user9638,https://linkedin.com/in/user9691,https://www.wade-harris.com/,Internshala,Software Developer,15 days,Under Review
Margaret Silva,sabrina72@yahoo.com,+91 70121 50728,Jaipur,MBA,5,Software Engineer,IT ,Accenture,Hybrid,Full-Time,No,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user1789,https://linkedin.com/in/user3864,https://cole.org/,LinkedIn,UI/UX Designer,30 days,Under Review
Christopher Beck,uchandler@gmail.com,+91 66571 88437,Hyderabad,B.Sc,4,Marketing Executive,Non-IT,ZS Associates,Remote,Part-Time,Yes,"digital marketing, SEO/SEM, social media marketing, content creation, email campaigns, Google Analytics, branding",https://github.com/user4397,https://linkedin.com/in/user6955,http://douglas.com/,Internshala,DevOps Engineer,Immediate,Rejected
Meredith Harmon,rrobertson@hotmail.com, +91 86639 19429,Ahmedabad,B.Tech,9,Graphic Designer,IT ,PwC,Remote,Remote,No,"Adobe Photoshop, Illustrator, InDesign, CorelDRAW, creativity, typography, visual branding",https://github.com/user6978,https://linkedin.com/in/user7506,https://taylor.biz/,Internshala,DevOps Engineer,Serving Notice,Rejected
James Thomas,heathergomez@yahoo.com, +91 94932 00304,Chennai,BCA,9,HR Executive,Non-IT,Swiggy,Onsite,Internship,No,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user5552,https://linkedin.com/in/user4589,http://wagner-kane.biz/,LinkedIn,Business Analyst,30 days,Offer Received
Jamie Jones,hollylee@gates-pena.org, +91 92443 73676,Ahmedabad,MBA,9,Data Analyst,IT ,Microsoft,Onsite,Internship,No,"data cleaning, SQL, Excel, Python/R, Tableau/Power BI, statistics, reporting, visualization",https://github.com/user3286,https://linkedin.com/in/user1042,http://bowman-adams.com/,Indeed,Data Analyst,Immediate,Interview Scheduled
Andres Michael,anthony57@hotmail.com,+91 83393 11353,Jaipur,B.Tech,6,HR Executive,Non-IT,ZS Associates,Onsite,Part-Time,No,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user1263,https://linkedin.com/in/user4420,http://www.blake-roman.com/,LinkedIn,Business Analyst,60 days,Interview Scheduled
Sherri Brown,jeffrey79@escobar-hampton.com, +91 93568 65511,Chandigarh,M.Sc,1,Software Engineer,IT ,Infosys,Hybrid,Contract,Yes,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user4530,https://linkedin.com/in/user8069,http://www.washington.com/,Indeed,DevOps Engineer,Serving Notice,Applied
Jonathan Henry,danielflores@wang-cruz.com, +91 65960 14287,Pune,BCA,4,Software Engineer,IT ,Infosys,Onsite,Remote,No,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user2598,https://linkedin.com/in/user8070,https://www.williams.net/,Naukri.com,DevOps Engineer,30 days,Under Review
Louis Simon,christopher44@hill-floyd.com,+91 60846 42181,Chandigarh,BCA,9,Sales Manager,Non-IT,Microsoft,Remote,Internship,No,"sales strategy, lead generation, CRM, negotiation, client relationship management, communication",https://github.com/user8853,https://linkedin.com/in/user1473,https://www.kirk.com/,Internshala,Business Analyst,15 days,Offer Received
Anthony Allen,antonio91@hotmail.com, +91 80607 55656,Hyderabad,MCA,10,Graphic Designer,IT ,HCL Technologies,Onsite,Contract,Yes,"Adobe Photoshop, Illustrator, InDesign, CorelDRAW, creativity, typography, visual branding",https://github.com/user8588,https://linkedin.com/in/user4217,https://www.mitchell.info/,Glassdoor,Data Analyst,60 days,Offer Received
Cheryl Lawrence,rgilbert@hotmail.com, +91 61639 59194,Mumbai,M.Sc,6,Business Analyst,IT ,Microsoft,Onsite,Full-Time,Yes,"requirements gathering, data analysis, SQL, documentation, process mapping, stakeholder management, MS Excel",https://github.com/user2975,https://linkedin.com/in/user3123,http://maddox-baker.com/,LinkedIn,UI/UX Designer,60 days,Applied
Shannon Marshall,jordan18@parker.com, +91 72695 78427,Delhi,B.Sc,6,Sales Manager,Non-IT,BYJU'S,Hybrid,Internship,Yes,"sales strategy, lead generation, CRM, negotiation, client relationship management, communication",https://github.com/user7496,https://linkedin.com/in/user7069,https://johnson.org/,Internshala,UI/UX Designer,Immediate,Under Review
Grant Rodriguez,scott00@yahoo.com,+91 81907 96334,Ahmedabad,MBA,2,Product Manager,Non-IT,Tech Mahindra,Onsite,Remote,No,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user5663,https://linkedin.com/in/user1535,https://alexander-jones.com/,Indeed,Software Developer,30 days,Applied
Alicia Freeman,omurray@dougherty.com, +91 76024 58646,Chandigarh,M.Sc,5,Data Analyst,IT ,PwC,Onsite,Remote,No,"data cleaning, SQL, Excel, Python/R, Tableau/Power BI, statistics, reporting, visualization",https://github.com/user5692,https://linkedin.com/in/user7279,https://young-meyer.com/,Internshala,Business Analyst,Immediate,Rejected
Joseph Carrillo,jennifer92@gonzales.com,+91 62021 60974,Kolkata,Diploma,0,Marketing Executive,Non-IT,Accenture,Remote,Contract,Yes,"digital marketing, SEO/SEM, social media marketing, content creation, email campaigns, Google Analytics, branding",https://github.com/user5559,https://linkedin.com/in/user1843,http://www.hill.org/,Naukri.com,UI/UX Designer,Serving Notice,Applied
Sherry Lindsey,dylanmcdaniel@yahoo.com, +91 83098 68122,Ahmedabad,B.Tech,8,UI/UX Designer,IT ,Flipkart,Onsite,Remote,Yes,"wireframing, prototyping, Figma, Adobe XD, HTML, CSS, user research, usability testing",https://github.com/user8984,https://linkedin.com/in/user4908,https://cooper-taylor.net/,Glassdoor,UI/UX Designer,60 days,Offer Received
Ana Scott,jensenmichael@fox.biz, +91 98269 67612,Chandigarh,BCA,3,DevOps Engineer,IT ,Amazon,Hybrid,Full-Time,No,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user7174,https://linkedin.com/in/user6616,http://www.ware.biz/,Naukri.com,DevOps Engineer,Serving Notice,Interview Scheduled
Karen Wright,megancruz@morris.com,+91 77966 04850,Jaipur,MCA,9,Marketing Executive,Non-IT,Amazon,Remote,Internship,Yes,"digital marketing, SEO/SEM, social media marketing, content creation, email campaigns, Google Analytics, branding",https://github.com/user3638,https://linkedin.com/in/user3662,http://www.gonzalez.com/,Indeed,UI/UX Designer,30 days,Under Review
Christina Simmons,stephensmark@hotmail.com,+91 99413 34306,Delhi,MBA,5,Graphic Designer,IT ,HCL Technologies,Hybrid,Contract,No,"Adobe Photoshop, Illustrator, InDesign, CorelDRAW, creativity, typography, visual branding",https://github.com/user7745,https://linkedin.com/in/user3968,http://www.reed-everett.org/,Naukri.com,DevOps Engineer,Serving Notice,Rejected
Caitlin Tran,pruittdanielle@cuevas.com,+91 89580 13819,Chandigarh,B.Sc,2,Business Analyst,IT ,Deloitte,Hybrid,Internship,No,"requirements gathering, data analysis, SQL, documentation, process mapping, stakeholder management, MS Excel",https://github.com/user3069,https://linkedin.com/in/user9374,http://www.parker.info/,Glassdoor,DevOps Engineer,Serving Notice,Interview Scheduled
John Henson,reneeharris@clark.com, +91 65213 98458,Bangalore,M.Tech,8,Business Analyst,IT ,TCS,Remote,Remote,No,"requirements gathering, data analysis, SQL, documentation, process mapping, stakeholder management, MS Excel",https://github.com/user4927,https://linkedin.com/in/user1277,http://torres.com/,Internshala,Data Analyst,Serving Notice,Under Review
Laura Garcia,gary68@hotmail.com,+91 64477 46689,Jaipur,MCA,1,Sales Manager,Non-IT,Deloitte,Hybrid,Remote,No,"sales strategy, lead generation, CRM, negotiation, client relationship management, communication",https://github.com/user4037,https://linkedin.com/in/user8472,http://www.smith-arnold.com/,Internshala,Business Analyst,15 days,Offer Received
Jennifer Brown,katherine79@gmail.com, +91 79395 93022,Chennai,M.Tech,7,Marketing Executive,Non-IT,ZS Associates,Hybrid,Contract,No,"digital marketing, SEO/SEM, social media marketing, content creation, email campaigns, Google Analytics, branding",https://github.com/user3506,https://linkedin.com/in/user4627,https://finley-liu.info/,Naukri.com,Data Analyst,Serving Notice,Applied
Heather Mitchell,whitegina@gmail.com,+91 98783 48157,Mumbai,MCA,7,HR Executive,Non-IT,HCL Technologies,Onsite,Remote,Yes,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user3550,https://linkedin.com/in/user4732,http://thomas.info/,Naukri.com,Data Analyst,15 days,Interview Scheduled
Scott Atkinson,davidschmidt@yahoo.com, +91 86155 38605,Hyderabad,M.Tech,5,Software Engineer,IT ,BYJU'S,Hybrid,Remote,Yes,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user5226,https://linkedin.com/in/user6167,http://www.lee.com/,Glassdoor,Business Analyst,30 days,Interview Scheduled
James Quinn,hmiller@hotmail.com, +91 99738 05682,Delhi,MCA,4,Data Analyst,IT ,Infosys,Hybrid,Contract,Yes,"data cleaning, SQL, Excel, Python/R, Tableau/Power BI, statistics, reporting, visualization",https://github.com/user4283,https://linkedin.com/in/user1048,http://johnson-davis.org/,Internshala,DevOps Engineer,60 days,Applied
Christy Zimmerman,brandiday@vasquez.com,+91 82890 38116,Chennai,B.Tech,10,Product Manager,Non-IT,Google,Remote,Part-Time,No,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user5856,https://linkedin.com/in/user6747,https://www.faulkner-durham.net/,Naukri.com,Business Analyst,30 days,Under Review
Justin Landry,hlopez@hotmail.com, +91 78533 52783,Ahmedabad,Diploma,5,Data Analyst,IT ,Swiggy,Remote,Full-Time,No,"data cleaning, SQL, Excel, Python/R, Tableau/Power BI, statistics, reporting, visualization",https://github.com/user3979,https://linkedin.com/in/user6058,https://www.jones.net/,Glassdoor,Software Developer,15 days,Rejected
Isaiah Gibbs,jasonvelez@powell.com, +91 79738 94564,Mumbai,B.Tech,5,DevOps Engineer,IT ,Tech Mahindra,Hybrid,Remote,Yes,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user9453,https://linkedin.com/in/user9687,http://merritt-johnson.com/,Internshala,UI/UX Designer,30 days,Interview Scheduled
Rebecca Sexton,kgonzales@yahoo.com,+91 61410 02989,Chandigarh,M.Sc,2,Graphic Designer,IT ,BYJU'S,Onsite,Internship,Yes,"Adobe Photoshop, Illustrator, InDesign, CorelDRAW, creativity, typography, visual branding",https://github.com/user4302,https://linkedin.com/in/user7616,https://www.greer-watkins.com/,LinkedIn,Business Analyst,60 days,Applied
Anthony Williams,oking@flores.com,+91 61398 82676,Delhi,M.Tech,6,Product Manager,Non-IT,Amazon,Hybrid,Remote,No,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user6491,https://linkedin.com/in/user5472,https://robinson.com/,Indeed,Software Developer,15 days,Under Review
William Wiley,fgreen@ware-ferrell.com,+91 61970 30740,Delhi,M.Tech,6,Product Manager,Non-IT,Infosys,Remote,Remote,No,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user7499,https://linkedin.com/in/user8591,http://ballard-ryan.org/,Naukri.com,Software Developer,Serving Notice,Under Review
Julia Davis,darellano@cooke.info, +91 74085 44688,Ahmedabad,M.Sc,7,Marketing Executive,Non-IT,TCS,Onsite,Internship,Yes,"digital marketing, SEO/SEM, social media marketing, content creation, email campaigns, Google Analytics, branding",https://github.com/user9645,https://linkedin.com/in/user1130,https://www.barron.com/,LinkedIn,Data Analyst,60 days,Offer Received
Emily Perry,george07@yahoo.com,+91 79976 37873,Jaipur,B.Tech,0,Sales Manager,Non-IT,Wipro,Onsite,Full-Time,No,"sales strategy, lead generation, CRM, negotiation, client relationship management, communication",https://github.com/user7071,https://linkedin.com/in/user4823,https://www.hartman.com/,Internshala,Business Analyst,Immediate,Offer Received
Neil Cox,ujohnson@good-hall.com,+91 90019 66547,Bangalore,MCA,9,Graphic Designer,IT ,IBM,Onsite,Contract,Yes,"Adobe Photoshop, Illustrator, InDesign, CorelDRAW, creativity, typography, visual branding",https://github.com/user8902,https://linkedin.com/in/user7909,http://www.stokes.com/,LinkedIn,Software Developer,30 days,Rejected
Mark Walker,vrangel@hotmail.com,+91 79665 33475,Mumbai,Diploma,2,HR Executive,Non-IT,PwC,Remote,Remote,No,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user5407,https://linkedin.com/in/user7073,http://www.hall.com/,LinkedIn,DevOps Engineer,60 days,Under Review
Hannah Lewis,rosssarah@yahoo.com,+91 91952 80034,Pune,MCA,7,Software Engineer,IT ,HCL Technologies,Onsite,Part-Time,Yes,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user1545,https://linkedin.com/in/user9946,http://larsen.biz/,Naukri.com,Software Developer,60 days,Offer Received
Rachel Lawson,thomaskelly@gmail.com,+91 66588 61592,Bangalore,B.Sc,2,Sales Manager,Non-IT,EY,Hybrid,Contract,No,"sales strategy, lead generation, CRM, negotiation, client relationship management, communication",https://github.com/user4622,https://linkedin.com/in/user7448,https://www.graham.com/,Glassdoor,Data Analyst,15 days,Interview Scheduled
Nancy Randolph,xortiz@hotmail.com, +91  9501208387,Chandigarh,MCA,0,Product Manager,Non-IT,TCS,Remote,Internship,No,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user1120,https://linkedin.com/in/user5324,http://lopez.net/,LinkedIn,UI/UX Designer,Immediate,Applied
Riley Singleton,phillipstracy@turner.org,+91 60611 55858,Chandigarh,B.Sc,4,DevOps Engineer,IT ,Deloitte,Remote,Contract,No,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user9638,https://linkedin.com/in/user3652,https://wilkinson.com/,Naukri.com,Data Analyst,30 days,Offer Received
Joseph Vasquez,lewismary@gonzales-lowery.org,+91 61474 04007,Pune,MBA,4,UI/UX Designer,IT ,TCS,Hybrid,Full-Time,No,"wireframing, prototyping, Figma, Adobe XD, HTML, CSS, user research, usability testing",https://github.com/user7739,https://linkedin.com/in/user4494,http://gardner.org/,Glassdoor,Data Analyst,15 days,Offer Received
Brandon Silva,bakerpatrick@washington-huber.com, +91 82939 96351,Bangalore,B.Sc,9,HR Executive,Non-IT,Tech Mahindra,Hybrid,Part-Time,No,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user1256,https://linkedin.com/in/user8090,http://www.wright-houston.com/,Glassdoor,Data Analyst,Serving Notice,Interview Scheduled
Kevin Henry,garciaraymond@williams.com, +91 89409 52128,Jaipur,M.Tech,6,DevOps Engineer,IT ,Microsoft,Onsite,Contract,No,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user5895,https://linkedin.com/in/user9184,https://www.turner-avery.org/,Glassdoor,DevOps Engineer,Immediate,Rejected
Emma Stevens,ogutierrez@yahoo.com, +91 96367 89804,Delhi,M.Sc,3,Software Engineer,IT ,ZS Associates,Remote,Remote,No,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user2917,https://linkedin.com/in/user3910,http://fischer.com/,Internshala,Data Analyst,15 days,Applied
Jeffrey Jackson,vjohnson@gmail.com, +91 77911 65650,Delhi,BCA,3,HR Executive,Non-IT,Accenture,Hybrid,Full-Time,No,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user5991,https://linkedin.com/in/user5732,http://www.smith.com/,LinkedIn,Data Analyst,15 days,Under Review
Christopher White,nicholas00@gmail.com, +91 93235 41980,Pune,B.Tech,6,DevOps Engineer,IT ,Deloitte,Hybrid,Full-Time,Yes,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user7357,https://linkedin.com/in/user7247,https://holden.com/,Indeed,UI/UX Designer,30 days,Offer Received
Lori Fry,lisamorris@young.biz, +91 81937 26782,Hyderabad,MBA,0,Sales Manager,Non-IT,Accenture,Remote,Remote,Yes,"sales strategy, lead generation, CRM, negotiation, client relationship management, communication",https://github.com/user6281,https://linkedin.com/in/user3373,http://www.king.net/,Naukri.com,Data Analyst,60 days,Under Review
James Evans,hshepherd@melendez.info,+91 68694 98590,Hyderabad,M.Tech,0,HR Executive,Non-IT,Cognizant,Onsite,Full-Time,No,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user7984,https://linkedin.com/in/user1100,http://www.cisneros-herman.com/,Internshala,Software Developer,15 days,Rejected
Eric Diaz,troythompson@gmail.com, +91 81600 47119,Delhi,MCA,7,HR Executive,Non-IT,Wipro,Onsite,Part-Time,Yes,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user7128,https://linkedin.com/in/user1519,http://www.johnson-jones.org/,Internshala,Data Analyst,15 days,Offer Received
Leslie Rodriguez,ashaw@jones.com, +91 97027 77865,Hyderabad,M.Sc,3,Marketing Executive,Non-IT,Google,Hybrid,Remote,No,"digital marketing, SEO/SEM, social media marketing, content creation, email campaigns, Google Analytics, branding",https://github.com/user1647,https://linkedin.com/in/user5273,http://kent-green.com/,Naukri.com,DevOps Engineer,60 days,Interview Scheduled
Marisa Hernandez,sclark@gmail.com,+91 64015 27156,Pune,M.Sc,10,Data Analyst,IT ,ZS Associates,Onsite,Full-Time,Yes,"data cleaning, SQL, Excel, Python/R, Tableau/Power BI, statistics, reporting, visualization",https://github.com/user4511,https://linkedin.com/in/user9746,https://www.potts-harvey.com/,Internshala,DevOps Engineer,60 days,Under Review
Mark Flynn,chasewolfe@murphy.com,+91 97867 33556,Delhi,M.Sc,0,Marketing Executive,Non-IT,Deloitte,Hybrid,Full-Time,No,"digital marketing, SEO/SEM, social media marketing, content creation, email campaigns, Google Analytics, branding",https://github.com/user8196,https://linkedin.com/in/user6544,http://diaz-walter.com/,Glassdoor,Data Analyst,Immediate,Rejected
Jessica Sanchez,dbartlett@torres.net, +91 92360 87199,Hyderabad,B.Tech,0,DevOps Engineer,IT ,ZS Associates,Remote,Part-Time,No,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user2944,https://linkedin.com/in/user1521,http://www.thomas-smith.info/,Indeed,UI/UX Designer,Serving Notice,Rejected
Brooke Jackson,jeanette91@gmail.com,+91 92962 08922,Bangalore,Diploma,3,Graphic Designer,IT ,Google,Remote,Part-Time,Yes,"Adobe Photoshop, Illustrator, InDesign, CorelDRAW, creativity, typography, visual branding",https://github.com/user7627,https://linkedin.com/in/user7710,http://www.barrett.net/,Naukri.com,UI/UX Designer,Serving Notice,Offer Received
Andrew Freeman,browneric@yahoo.com, +91 84484 00095,Bangalore,Diploma,0,HR Executive,Non-IT,Wipro,Hybrid,Full-Time,Yes,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user4632,https://linkedin.com/in/user2121,https://barnes.com/,Indeed,Software Developer,Immediate,Rejected
John Frazier,castanedacody@yahoo.com, +91 86714 24247,Pune,MCA,2,HR Executive,Non-IT,Infosys,Hybrid,Remote,Yes,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user8245,https://linkedin.com/in/user4308,https://griffin.com/,Naukri.com,Data Analyst,Serving Notice,Rejected
Joshua Phillips,mhall@booth-dyer.com, +91 93106 14787,Pune,MCA,0,UI/UX Designer,IT ,EY,Hybrid,Internship,No,"wireframing, prototyping, Figma, Adobe XD, HTML, CSS, user research, usability testing",https://github.com/user1559,https://linkedin.com/in/user3998,http://www.kelly.com/,Internshala,Software Developer,Serving Notice,Under Review
David Hendricks,jasmine55@garza.info, +91 72491 38413,Delhi,B.Sc,4,UI/UX Designer,IT ,Flipkart,Onsite,Contract,No,"wireframing, prototyping, Figma, Adobe XD, HTML, CSS, user research, usability testing",https://github.com/user7045,https://linkedin.com/in/user4326,http://www.roberts.org/,Indeed,Software Developer,60 days,Interview Scheduled
Cesar Sanchez,ghernandez@rivas-bell.com,+91 79647 23290,Ahmedabad,Diploma,10,DevOps Engineer,IT ,HCL Technologies,Remote,Contract,Yes,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user9874,https://linkedin.com/in/user3972,https://reed.com/,Internshala,Software Developer,60 days,Under Review
Brandon Price,iwebb@pruitt-gonzalez.com, +91 81932 68203,Mumbai,BCA,7,DevOps Engineer,IT ,Swiggy,Hybrid,Remote,Yes,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user6222,https://linkedin.com/in/user7434,https://www.rodriguez.com/,Glassdoor,UI/UX Designer,Immediate,Interview Scheduled
Jack Mitchell,srhodes@randall-douglas.org, +91 94656 48941,Pune,Diploma,0,DevOps Engineer,IT ,PwC,Onsite,Part-Time,No,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user8390,https://linkedin.com/in/user2062,http://sutton-reynolds.net/,Naukri.com,DevOps Engineer,30 days,Under Review
Diane Bailey,harveydebra@davis.com,+91 64694 64559,Ahmedabad,M.Tech,0,Software Engineer,IT ,IBM,Remote,Remote,Yes,"programming, data structures, REST APIs, problem solving, version control, SDLC, databases",https://github.com/user7473,https://linkedin.com/in/user1187,https://www.davila.com/,Indeed,Software Developer,30 days,Interview Scheduled
Rachel Wilson,ian10@williams.biz,+91 65785 38606,Hyderabad,Diploma,6,HR Executive,Non-IT,Deloitte,Remote,Internship,Yes,"recruitment, onboarding, payroll, employee engagement, HR policies, HRMS, sourcing profiles, communication",https://github.com/user1698,https://linkedin.com/in/user1291,https://www.perry.net/,Glassdoor,Business Analyst,15 days,Applied
Jon Chapman,beasleyjennifer@clark-kaiser.com, +91 64335 95702,Delhi,Diploma,7,Sales Manager,Non-IT,TCS,Onsite,Full-Time,Yes,"sales strategy, lead generation, CRM, negotiation, client relationship management, communication",https://github.com/user7993,https://linkedin.com/in/user1030,https://baker.com/,Internshala,Data Analyst,Serving Notice,Offer Received
